broad_id	compound	moa	target	n_mito_low	n_mito_high	median_lfc_mito_low	median_lfc_mito_high	delta_lfc_low_minus_high	wilcox_p	fdr	target_text	pathway_relevance
BRD-K40797222-001-01-8	SC-12267	dihydroorotate dehydrogenase inhibitor	IL17A	15	15	-0.133228726017	-0.127587655775	-0.005641070242000001	0.43064798984807773	1.0	dihydroorotate dehydrogenase inhibitor il17a	other
BRD-K31841515-001-07-8	oxypurinol	xanthine oxidase inhibitor	XDH	14	15	0.045634660737650004	0.0511640983187	-0.005529437581049998	0.810299496070296	1.0	xanthine oxidase inhibitor xdh	other
BRD-K69247067-001-01-8	afloqualone	acetylcholine receptor antagonist		15	15	0.0344759453193	0.0399715727562	-0.005495627436900005	0.6482039260122094	1.0	acetylcholine receptor antagonist 	other
BRD-K40227168-001-12-9	vinburnine	adrenergic receptor antagonist	CHRM1, CHRM2, CHRM3, CHRM4	14	15	0.0867868830728	0.0922088826481	-0.005421999575299999	0.8785934392551416	1.0	adrenergic receptor antagonist chrm1, chrm2, chrm3, chrm4	other
BRD-K51956333-001-03-8	iopodic-acid			16	15	-0.0345067980977	-0.0291038155117	-0.005402982585999999	0.7972289049943062	1.0	 	other
BRD-K76840893-003-02-5	RS-17053	adrenergic receptor antagonist	ADRA1A, ADRA1D	15	15	0.0597295505113	0.0650874693665	-0.005357918855200004	0.5897385933186072	1.0	adrenergic receptor antagonist adra1a, adra1d	other
BRD-K53523901-001-04-4	arctigenin	MEK inhibitor	CHUK, MAP2K1	15	14	0.258239485335	0.2635768969805	-0.005337411645500001	0.9478034802354203	1.0	mek inhibitor chuk, map2k1	other
BRD-K51033547-003-02-6	tramadol	norepinephrine reputake inhibitor, opioid receptor agonist, serotonin reuptake inhibitor	CHRFAM7A, CHRM3, GRIN3A, HTR2C, OPRD1, OPRK1, OPRM1, SLC6A2, SLC6A4	16	15	-0.1241300663495	-0.118874149507	-0.0052559168425	0.9842314483424721	1.0	norepinephrine reputake inhibitor, opioid receptor agonist, serotonin reuptake inhibitor chrfam7a, chrm3, grin3a, htr2c, oprd1, oprk1, oprm1, slc6a2, slc6a4	other
BRD-K56596464-004-10-7	QX-314	sodium channel blocker	MAPK14, TGFBR1	15	15	0.115639570483	0.120784973754	-0.005145403271000007	0.5897385933186072	1.0	sodium channel blocker mapk14, tgfbr1	other
BRD-K28392481-001-05-1	AZD4547	FGFR inhibitor	FGFR1, FGFR2, FGFR3, FGFR4, IGF1R, KDR	15	14	-0.0869237620713	-0.08183500052449999	-0.005088761546800005	0.9825901131969854	1.0	fgfr inhibitor fgfr1, fgfr2, fgfr3, fgfr4, igf1r, kdr	other
BRD-K75516118-001-03-3	rolipram-R(-)	phosphodiesterase inhibitor	PDE4A, PDE4B, PDE4C, PDE4D, PDE5A	14	15	0.0163995917983	0.0213984373754	-0.004998845577099998	0.8785934392551416	1.0	phosphodiesterase inhibitor pde4a, pde4b, pde4c, pde4d, pde5a	other
BRD-K59204667-001-03-1	DBeQ	ATPase inhibitor	CASP3	15	15	0.0231030506425	0.0280864471176	-0.004983396475099999	1.0	1.0	atpase inhibitor casp3	other
BRD-K26160755-003-02-6	RS-45041-190	imidazoline receptor agonist		15	15	0.256364863699	0.261244450602	-0.004879586902999999	0.9669147771731937	1.0	imidazoline receptor agonist 	other
