broad_id	compound	moa	target	n_mito_low	n_mito_high	median_lfc_mito_low	median_lfc_mito_high	delta_lfc_low_minus_high	wilcox_p	fdr	target_text	pathway_relevance	test_family
BRD-A75975749-001-01-4	bafetinib	Bcr-Abl kinase inhibitor, LYN tyrosine kinase inhibitor	ABL1, BCR, LYN	16	15	0.3345324703975	-0.049897462969	0.3844299333665	0.0067751184528005	1.0	bcr-abl kinase inhibitor, lyn tyrosine kinase inhibitor abl1, bcr, lyn	other	BH across all 4,686 tested PRISM compounds
BRD-K58010567-003-02-2	vilazodone	serotonin reuptake inhibitor	DRD2, DRD3, HRH1, HTR1A, HTR4, SLC6A4	15	15	-0.000816008944056	-0.385701194031	0.384885185086944	0.0343974488925022	1.0	serotonin reuptake inhibitor drd2, drd3, hrh1, htr1a, htr4, slc6a4	other	BH across all 4,686 tested PRISM compounds
BRD-K58794715-001-01-8	bentiromide		HPN	15	15	-0.130343773703	-0.515393057569	0.385049283866	0.0143968527511794	1.0	 hpn	other	BH across all 4,686 tested PRISM compounds
BRD-A54927599-001-16-9	KF-38789	P selectin inhibitor	SELP	14	15	-1.074428336761	-1.46267482197	0.3882464852090002	0.8785934392551416	1.0	p selectin inhibitor selp	other	BH across all 4,686 tested PRISM compounds
BRD-K72815923-034-01-2	xanomeline	acetylcholine receptor agonist	CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, HTR1A, HTR1B, HTR1D, HTR1E, HTR1F, HTR2A, HTR2B, HTR2C, HTR6, HTR7	15	15	-1.46656828978	-1.85788227121	0.3913139814299999	0.2997583700887151	1.0	acetylcholine receptor agonist chrm1, chrm2, chrm3, chrm4, chrm5, htr1a, htr1b, htr1d, htr1e, htr1f, htr2a, htr2b, htr2c, htr6, htr7	other	BH across all 4,686 tested PRISM compounds
BRD-K13044802-213-20-7	ciclopirox	membrane integrity inhibitor	ATP1A1	16	15	-0.7147266504895	-1.10613741247	0.3914107619805	1.0	1.0	membrane integrity inhibitor atp1a1	other	BH across all 4,686 tested PRISM compounds
BRD-K92657060-001-05-7	zaleplon	benzodiazepine receptor agonist	GABRA1, GABRB1, GABRG2, TSPO	16	15	-1.1510786993600002	-1.54498540214	0.3939067027799998	0.2599279599779344	1.0	benzodiazepine receptor agonist gabra1, gabrb1, gabrg2, tspo	other	BH across all 4,686 tested PRISM compounds
BRD-K67578145-001-12-1	GDC-0879	RAF inhibitor	BRAF	15	15	-0.0335749538284	-0.42750868805	0.3939337342216	0.081494648393455	1.0	raf inhibitor braf	other	BH across all 4,686 tested PRISM compounds
BRD-K37203094-001-02-5	1-hexadecanol			14	13	-0.0318365075237	-0.425905376899	0.3940688693753	0.0941006375466181	1.0	 	other	BH across all 4,686 tested PRISM compounds
BRD-K63923597-001-10-0	barasertib-HQPA	Aurora kinase inhibitor	AURKB	15	14	-0.626418391569	-1.02127481846	0.394856426891	0.1979251021111571	1.0	aurora kinase inhibitor aurkb	other	BH across all 4,686 tested PRISM compounds
